id	type	source	dest	length (ft)	ffspd (mph)	w (mph)	capacity	num_lanes
12	201	1	2	31680	60	30	2590	1
13	201	1	3	21120	60	30	2340	1
21	201	2	1	31680	60	30	2590	1
26	201	2	6	26400	60	30	496	1
31	201	3	1	21120	60	30	2340	1
34	201	3	4	21120	60	30	1711	1
312	201	3	12	21120	60	30	2340	1
43	201	4	3	21120	60	30	1711	1
45	201	4	5	10560	60	30	1778	1
411	201	4	11	31680	60	30	491	1
54	201	5	4	10560	60	30	1778	1
56	201	5	6	21120	60	30	495	1
59	201	5	9	26400	60	30	1000	1
62	201	6	2	26400	60	30	496	1
65	201	6	5	21120	60	30	495	1
68	201	6	8	10560	60	30	490	1
78	201	7	8	15840	60	30	784	1
718	201	7	18	10560	60	30	2340	1
86	201	8	6	10560	60	30	490	1
87	201	8	7	15840	60	30	784	1
89	201	8	9	52800	60	30	505	1
816	201	8	16	26400	60	30	505	1
95	201	9	5	26400	60	30	1000	1
98	201	9	8	52800	60	30	505	1
910	201	9	10	15840	60	30	1392	1
109	201	10	9	15840	60	30	1392	1
1011	201	10	11	26400	60	30	1000	1
1015	201	10	15	31680	60	30	1351	1
1016	201	10	16	21120	60	30	485	1
1017	201	10	17	42240	60	30	499	1
114	201	11	4	31680	60	30	491	1
1110	201	11	10	26400	60	30	1000	1
1112	201	11	12	31680	60	30	491	1
1114	201	11	14	21120	60	30	488	1
123	201	12	3	21120	60	30	2340	1
1211	201	12	11	31680	60	30	491	1
1213	201	12	13	15840	60	30	2590	1
1312	201	13	12	15840	60	30	2590	1
1324	201	13	24	21120	60	30	509	1
1411	201	14	11	21120	60	30	488	1
1415	201	14	15	26400	60	30	513	1
1423	201	14	23	21120	60	30	492	1
1510	201	15	10	31680	60	30	1351	1
1514	201	15	14	26400	60	30	513	1
1519	201	15	19	15840	60	30	1456	1
1522	201	15	22	15840	60	30	960	1
168	201	16	8	26400	60	30	505	1
1610	201	16	10	21120	60	30	485	1
1617	201	16	17	10560	60	30	523	1
1618	201	16	18	15840	60	30	1968	1
1710	201	17	10	42240	60	30	499	1
1716	201	17	16	10560	60	30	523	1
1719	201	17	19	10560	60	30	482	1
187	201	18	7	10560	60	30	2340	1
1816	201	18	16	15840	60	30	1968	1
1820	201	18	20	21120	60	30	2340	1
1915	201	19	15	15840	60	30	1456	1
1917	201	19	17	10560	60	30	482	1
1920	201	19	20	21120	60	30	500	1
2018	201	20	18	21120	60	30	2340	1
2019	201	20	19	21120	60	30	500	1
2021	201	20	21	31680	60	30	506	1
2022	201	20	22	26400	60	30	508	1
2120	201	21	20	31680	60	30	506	1
2122	201	21	22	10560	60	30	523	1
2124	201	21	24	15840	60	30	489	1
2215	201	22	15	15840	60	30	960	1
2220	201	22	20	26400	60	30	508	1
2221	201	22	21	10560	60	30	523	1
2223	201	22	23	21120	60	30	500	1
2314	201	23	14	21120	60	30	492	1
2322	201	23	22	21120	60	30	500	1
2324	201	23	24	10560	60	30	508	1
2413	201	24	13	21120	60	30	509	1
2421	201	24	21	15840	60	30	489	1
2423	201	24	23	10560	60	30	508	1
90011	1000	9001	1	1	60	30	1	1
119001	1000	1	9001	1	60	30	1	1
90022	1000	9002	2	1	60	30	1	1
219002	1000	2	9002	1	60	30	1	1
90033	1000	9003	3	1	60	30	1	1
319003	1000	3	9003	1	60	30	1	1
90044	1000	9004	4	1	60	30	1	1
419004	1000	4	9004	1	60	30	1	1
90055	1000	9005	5	1	60	30	1	1
519005	1000	5	9005	1	60	30	1	1
90066	1000	9006	6	1	60	30	1	1
619006	1000	6	9006	1	60	30	1	1
90077	1000	9007	7	1	60	30	1	1
719007	1000	7	9007	1	60	30	1	1
90088	1000	9008	8	1	60	30	1	1
819008	1000	8	9008	1	60	30	1	1
90099	1000	9009	9	1	60	30	1	1
919009	1000	9	9009	1	60	30	1	1
901010	1000	9010	10	1	60	30	1	1
1019010	1000	10	9010	1	60	30	1	1
901111	1000	9011	11	1	60	30	1	1
1119011	1000	11	9011	1	60	30	1	1
901212	1000	9012	12	1	60	30	1	1
1219012	1000	12	9012	1	60	30	1	1
901313	1000	9013	13	1	60	30	1	1
1319013	1000	13	9013	1	60	30	1	1
901414	1000	9014	14	1	60	30	1	1
1419014	1000	14	9014	1	60	30	1	1
901515	1000	9015	15	1	60	30	1	1
1519015	1000	15	9015	1	60	30	1	1
901616	1000	9016	16	1	60	30	1	1
1619016	1000	16	9016	1	60	30	1	1
901717	1000	9017	17	1	60	30	1	1
1719017	1000	17	9017	1	60	30	1	1
901818	1000	9018	18	1	60	30	1	1
1819018	1000	18	9018	1	60	30	1	1
901919	1000	9019	19	1	60	30	1	1
1919019	1000	19	9019	1	60	30	1	1
902020	1000	9020	20	1	60	30	1	1
2019020	1000	20	9020	1	60	30	1	1
902121	1000	9021	21	1	60	30	1	1
2119021	1000	21	9021	1	60	30	1	1
902222	1000	9022	22	1	60	30	1	1
2219022	1000	22	9022	1	60	30	1	1
902323	1000	9023	23	1	60	30	1	1
2319023	1000	23	9023	1	60	30	1	1
902424	1000	9024	24	1	60	30	1	1
2419024	1000	24	9024	1	60	30	1	1
